completionCode,trialNum,itemNum,condition,Value,sentence,rating
CO439307,1,122,ungram,oldukça kötü,Geçen ay egzersiz yapıp sonra pes ettiğimdir.,1
CO439307,2,220,gram,oldukça iyi,Umut son olaylardan sonra saygılı ve ileri görüşlü velilerden bu tepkiyi beklemiyordu.,6
CO439307,4,104,ungram,kötü,Metin yeni çıkan romanı ve gazete okudu.,2
CO439307,5,226,gram,iyi sayılır,Yeni eve kışlık ve kalın yorgan almak için biraz daha bekleyeceklermiş.,4
CO439307,7,107,ungram,kötü,Bu işyeri yıllarca büyük emekler verip çalıştığımdır.,2
CO439307,8,120,ungram,kötü,Arkadaşım uzun bir kahvaltı yapmayı ve dışarı çıkmak istedi.,2
CO439307,10,237,gram,oldukça iyi,Bilge alışveriş sitesinden değişim için ödeme fişi ve makbuzu isteyecek.,6
CO439307,11,240,gram,oldukça iyi,Pelin bu dönemi hiç ödev ve sınav kaçırmadan tamamladı.,6
CO439307,13,201,gram,oldukça iyi,Doğum günü partisine arkadaşlarını ve akrabalarını çağırdılar.,6
CO439307,14,209,gram,oldukça iyi,Sevda beslenme çantasındaki elmayı ve armutu çürüyene kadar bekletmiş.,6
CO439307,16,101,ungram,oldukça kötü,Bugünkü yarışı kazanmak dostum Hasan çok istiyor.,1
CO439307,17,207,gram,oldukça iyi,Alışveriş merkezinde gördüğü pahalı ayakkabıya ve çantaya bayılmış.,6
CO439307,19,123,ungram,oldukça kötü,Kimse doktor geldiğinde zaten şaşırdı.,1
CO439307,20,205,gram,oldukça iyi,Düğün günü koşturmaca arasında yaşlı ve yatalak dedesi ile de vedalaştı.,6
CO439307,22,223,gram,oldukça iyi,Kahvaltı sofrasına sıcak ve taze ekmek olmadan oturulmaz.,6
CO439307,23,214,gram,kötü sayılır,Cem tavuklara ve horozlara yeni satılan pahalı yemden almış.,3
CO439307,25,238,gram,oldukça iyi,Leyla yıkama ve kurutma makinasının önündeki sırayı görünce geri döndü.,6
CO439307,26,203,gram,iyi sayılır,Piknik alanına yüksek ve zorlu tepeleri aşarak varmamız gerekti.,4
CO439307,28,114,ungram,oldukça kötü,Ziyaretçiye göre kendisine tanınan sürenin belirlendiği biliyordu.,1
CO439307,29,212,gram,oldukça iyi,Mesut çiftlikteki koyunları ve inekleri her gün tek tek sayıyor.,6
CO439307,31,116,ungram,oldukça iyi,Yavaş Hasan'ın konuşması rahatsız etmiş herkesi.,6
CO439307,32,228,gram,oldukça iyi,Lisedeki matematik ve kimya dersleri herkesin korkulu rüyasıydı.,6
CO439307,34,224,gram,iyi,Yeni binadaki camlı ve ferah ofis her zaman çok temiz.,5
CO439307,35,239,gram,oldukça iyi,Murat yemekhanedeki ıspanak ve pırasa yemeklerinden nefret ediyor.,6
