,item,translation,Coord,PMI,cPMI,csumPMI
0,anne ve baba,mother and father,131657,0.0216945581566526,4.35806259666125,2.61222171933118
1,kedi ve köpek,cat and dog,12939,0.0586363089219442,39.9156784916635,24.2795783735366
2,masa ve sandalye,table and chair,9779,0.0620052472106514,41.4598988995765,21.4397345746552
3,limon ve portakal,lemon and orange,1017,0.0277472621025507,22.2112682546813,8.13380764431761
4,abi ve abla,brother and sister,1668,0.0079953797702889,26.7058241079494,13.1144802523806
5,ilim ve teknoloji ,science and technology ,626,0.000738440948220578,0.0867582177132275,0.0443871168004049
6,kapı ve pencere,door and window,9745,0.0134376676810709,25.7808534387371,12.2021351577646
7,ev ve bahçe,house and garden,2048,0.000322880647794067,0.407345678949238,0.182342018482333
8,şehir ve köy,city and village,1699,0.000281884050740384,0.62069172176809,0.148205131492544
9,fare ve aslan,mouse and lion,1,4.30196793363952E-05,0.124185051125123,0.0798482712503265
10,at ve balık,horse and fish,123,2.24409353906851E-05,0.0622711905854319,0.0330067920160074
11,atkı ve şapka,hat and scarf,151,0.0426284155965064,17.3276416047003,8.4351777822844
12,sürahi ve bardak,jug and glass,106,0.0171409689694869,129.049223756745,60.0825655326586
13,çiftlik ve fabrika,farm and factory,53,0.00047435088099434,1.86852046460021,1.02715516853224
14,tablo ve vazo,table and vase,6,0.00030758986685888,0.928258174589582,0.577672217807844
15,tepe ve nehir,hill and river,21,0.000163356898310278,0.665408305626471,0.282871294503905
16,okul ve cami,school and mosque,1133,0.000354129969769218,1.10955031972285,0.266863183206605
17,gece ve gündüz,night and day,13508,0.0172518200448778,27.5105259125407,10.725859396406
18,taban ve tavan,floor and ceiling,2242,0.0217368354229324,24.9750797829592,11.4971572837266
19,büyükanne ve dede,grandmother and grandfather,139,0.0237992364081773,8.12996717598864,4.75783278975262
20,çatal ve bıçak,fork and knife,810,0.0425040493770511,60.3485733597258,21.9164544755392
21,göz ve kulak,eyes and ears,4178,0.00110395644481432,6.87380918618295,2.25540697992464
22,burun ve boyun,nose and neck,56,0.00031828928487321,0.241148049365486,0.0820216897472854
23,hayalet ve canavar,ghost and monster,41,0.0062867092221558,52.1917346113944,17.2565665098981
24,orman ve çöl,jungle and desert,75,0.000718951606684063,0.622641475599859,0.165056646246179
25,muz ve havuç,banana and carrot,22,0.00217997947053086,0.977512155141488,0.353905029010369
26,doktor ve avukat,doctor and lawyer,307,0.000286186800466288,0.359051006063141,0.187387951374476
27,ejderha ve peri,dragon and fairy,3,0.000964208732239329,3.03713812499241,1.33727830433111
28,battaniye ve halı,blanket and carpet,42,0.00233528414018482,2.76130781849845,1.07848434300451
29,çorap ve ayakkabı,socks and shoes,505,0.011907931654688,11.9797593781115,6.22868806520451
30,düğün ve cenaze,wedding and funeral,739,0.0036727059481945,9.23126785567978,4.17828255662234
31,gömlek ve pantolon,shirt and pantolon,567,0.0359540573348382,31.1761559480806,15.6767034119434
