english,turkish_base,base_freq
mother and father,anne ve baba,16742
cat and dog,kedi ve köpek,3876
table and chair,masa ve sandalye,3251
lemon and orange,limon ve portakal,748
brother and sister,abi ve abla,93
knowledge and science,ilim ve bilim ,769
door and window,kapı ve pencere,4173
house and garden,ev ve bahçe,752
city and village,şehir ve köy,369
pants and t-shirt,pantolon ve t-shirt,47
mouse and lion,fare ve aslan,0
horse and fish,at ve balım,0
hat and scarf,atkı ve şapka,69
cup and lamp,bardak ve lamba,0
farm and factory,çiftlik ve fabrika,6
picture and vase,tablo ve vazo,0
hill and river,tepe ve nehir,5
school and mosque,okul ve cami,377
night and day,gece ve gündüz,10613
top and bottom,alt ve üst,19335
husband and wife,koca ve karı,41
knife and tablecloth,örtü ve bıçak,5
eyes and ears,göz ve kulak,781
nose and neck,burun ve boyun,19
ghost and monster,hayalet ve canavar,2
jungle and desert,orman ve çöl,7
banana and carrot,muz ve havuç,20
doctor and lawyer,doktor ve avukat,65
dragon and fairy,ejderha ve peri,0
blanket and carpet,battaniye ve halı,28
socks and shoes,çorap ve ayakkabı,197
wedding and funeral,düğün ve cenaze,404
