english,lik,sa_lik,siz,sa_siz,ca,sa_ca,ci,sa_ci
mother and father,annelik ve babalık,anne ve babalık,annesiz ve babasız,anne ve babasız,annece ve babaca,anne ve babaca,anneci ve babacı,anne ve babacı
cat and dog,kedilik ve köpeklik,kedi ve köpeklik,kedisiz ve köpeksiz,kedi ve köpeksiz,kedice ve köpekçe,kedi ve köpekçe,kedici ve köpekçi,kedi ve köpekçi
table and chair,masalık ve sandalyelik,masa ve sandalyelik,masasız ve sandalyesiz,masa ve sandalyesiz,masaca ve sandalyece,masa ve sandalyece,masacı ve sandalyeci,masa ve sandalyeci
lemon and orange,limonluk ve portakallık,limon ve portakallık,limonsuz ve portakalsız,limon ve portakalsız,limonca ve portakalca,limon ve portakalca,limoncu ve portakalcı,limon ve portakalcı
brother and sister,abilik ve ablalık,abi ve ablalık,abisiz ve ablasız,abi ve ablasız,abice ve ablaca,abi ve ablaca,abici ve ablacı,abi ve ablacı
knowledge and science,ilimlik ve bilimlik,ilim ve bilimlik,ilimsiz ve bilimsiz,ilim ve bilimsiz,ilimce ve bilimce,ilim ve bilimce,ilimci ve bilimci,ilim ve bilimci
door and window,kapılık ve pencerelik,kapı ve pencerelik,kapısız ve penceresiz,kapı ve penceresiz,kapıca ve pencerece,kapı ve pencerece,kapıcı ve pencereci,kapı ve pencereci
house and garden,evlik ve bahçelik,ev ve bahçelik,evsiz ve bahçesiz,ev ve bahçesiz,evce ve bahçece,ev ve bahçece,evci ve bahçeci,ev ve bahçeci
city and village,şehirlik ve köylük,şehir ve köylük,şehirsiz ve köysüz,şehir ve köysüz,şehirce ve köyce,şehir ve köyce,şehirci ve köycü,şehir ve köycü
pants and t-shirt,pantolonluk ve t-shirtlik,pantolon ve t-shirtlik,pantolonsuz ve t-shirtsiz,pantolon ve t-shirtsiz,pantolonca ve t-shirtçe,pantolon ve t-shirtçe,pantoloncu ve t-shirtçi,pantolon ve t-shirtçi
mouse and lion,farelik ve aslanlık,fare ve aslanlık,faresiz ve aslansız,fare ve aslansız,farece ve aslanca,fare ve aslanca,fareci ve aslancı,fare ve aslancı
horse and fish,atlık ve balıklık,at ve balıklık,atsız ve balıksız,at ve balıksız,atça ve balıkça,at ve balıkça,atçı ve balıkçı,at ve balıkçı
hat and scarf,atkılık ve şapkalık,atkı ve şapkalık,atkısız ve şapkasız,atkı ve şapkasız,atkıca ve şapkaca,atkı ve şapkaca,atkıcı ve şapkacı,atkı ve şapkacı
cup and lamp,bardaklık ve lambalık,bardak ve lambalık,bardaksız ve lambasız,bardak ve lambasız,bardakça ve lambaca,bardak ve lambaca,bardakçı ve lambacı,bardak ve lambacı
farm and factory,çiftliklik ve fabrikalık,çiftlik ve fabrikalık,çiftliksiz ve fabrikasız,çiftlik ve fabrikasız,çiftlikçe ve fabrikaca,çiftlik ve fabrikaca,çiftlikçi ve fabrikacı,çiftlik ve fabrikacı
